	S004.3	S003.5	S004.1	S004.2	S005.3	S003.1	S001.1	S001.2	S003.3	S001.3	S002.1	S003.2	S005.4	S006.4	S006.5	S003.4	S005.5	S006.1	S006.2	S001.4	S001.5	S002.2	S002.3	S004.4	S006.3	S002.4	S002.5	S004.5	S005.1	S005.2
S004.3	0	0.534755366	0.583481848	0.647016684	0.646100713	0.636681223	0.627364785	0.652121172	0.649980161	0.651976877	0.621647198	0.635291277	0.693204732	0.655776909	0.676860556	0.632363243	0.64210176	0.63645922	0.678949388	0.705017267	0.663543299	0.621824226	0.65622778	0.647880292	0.74168101	0.712280747	0.633518927	0.652082448	0.65082913	0.618690788
S003.5	0.534755366	0	0.522915236	0.615020115	0.600701753	0.622087579	0.592240559	0.629946662	0.617732136	0.621689372	0.616060574	0.622239366	0.653500407	0.65709969	0.649295736	0.593226514	0.601051572	0.596710842	0.670157287	0.665267859	0.639418495	0.594981042	0.60849734	0.606071348	0.708095182	0.685229613	0.605803983	0.614544667	0.611889604	0.578503417
S004.1	0.583481848	0.522915236	0	0.633910729	0.607165656	0.622056172	0.632985789	0.669995065	0.666015117	0.593031449	0.635457937	0.62737883	0.663598265	0.676426722	0.65698343	0.63729561	0.61713783	0.621877389	0.668832668	0.65839774	0.639281199	0.598655525	0.63365256	0.63656993	0.728499099	0.720243986	0.644973516	0.640021436	0.653950621	0.593543648
S004.2	0.647016684	0.615020115	0.633910729	0	0.450147739	0.548655221	0.583570766	0.625752214	0.627787936	0.625185014	0.641418495	0.651014752	0.622194752	0.657154863	0.639311329	0.64479801	0.647187241	0.611000095	0.623393854	0.581052271	0.58138261	0.62064719	0.636660498	0.632126846	0.706771872	0.698714183	0.634426914	0.645978235	0.643223378	0.601318331
S005.3	0.646100713	0.600701753	0.607165656	0.450147739	0	0.51360209	0.575366269	0.627507013	0.619264774	0.607589334	0.636221486	0.640640891	0.649103314	0.664498627	0.643707974	0.622971213	0.646532502	0.618459681	0.623703179	0.603112494	0.597674395	0.598686504	0.621552585	0.605130299	0.698353064	0.693523381	0.620672949	0.620568229	0.625275242	0.567941263
S003.1	0.636681223	0.622087579	0.622056172	0.548655221	0.51360209	0	0.640725942	0.674476	0.67017603	0.639860624	0.620272011	0.652821077	0.674118923	0.684468016	0.655469662	0.662694092	0.666813794	0.637536517	0.573631738	0.599820877	0.608319491	0.627776237	0.659367275	0.657940174	0.743083019	0.722891485	0.662403739	0.640579624	0.641841034	0.627433141
S001.1	0.627364785	0.592240559	0.632985789	0.583570766	0.575366269	0.640725942	0	0.523375621	0.512464515	0.621112069	0.621303553	0.650050811	0.661626086	0.656286093	0.658939618	0.610794841	0.626405056	0.630903969	0.671236013	0.67301953	0.645693467	0.621570423	0.636716335	0.626798565	0.688703619	0.689945481	0.620887612	0.637892186	0.593641988	0.577378581
S001.2	0.652121172	0.629946662	0.669995065	0.625752214	0.627507013	0.674476	0.523375621	0	0.506761655	0.648930527	0.668078773	0.669654112	0.687987131	0.674067712	0.691887665	0.637283381	0.637288058	0.624272641	0.715396228	0.718790182	0.66375771	0.629733927	0.653256312	0.659465211	0.705881291	0.695878253	0.641872381	0.629274404	0.615411186	0.609361428
S003.3	0.649980161	0.617732136	0.666015117	0.627787936	0.619264774	0.67017603	0.512464515	0.506761655	0	0.630780804	0.660129182	0.677586735	0.700534608	0.690856818	0.694737984	0.631126939	0.650485295	0.63283032	0.718124332	0.720860372	0.655824279	0.62303732	0.635559711	0.622427238	0.724911318	0.711700774	0.623687132	0.64466403	0.56682689	0.591412812
S001.3	0.651976877	0.621689372	0.593031449	0.625185014	0.607589334	0.639860624	0.621112069	0.648930527	0.630780804	0	0.563398797	0.600527969	0.644955458	0.672738352	0.648039898	0.65860068	0.64759808	0.642145085	0.667843871	0.650358416	0.592866213	0.609871953	0.643958958	0.654754737	0.714564117	0.729177677	0.635899898	0.627097192	0.67426218	0.646021549
