"StudyID.Timepoint"	"Timepoint"	"StudyID"	"FarmLocation"	"PlotName"	"Sunlight"	"OutreachProgram"	"FertilizerLBrand"	"DailyWeatherOfficial"	"FertilizerCost"	"ResponseMint"
"S001_1_2"	"1_2"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"A_B"	"B1_B1"	"Windy_Windy"	50	600
"S001_1_3"	"1_3"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"A_B"	"B1_B2"	"Windy_Microburst"	100	900
"S001_1_4"	"1_4"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"A_B"	"B1_B2"	"Windy_Windy"	150	3700
"S001_1_5"	"1_5"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"A_B"	"B1_B2"	"Windy_Windy"	200	7700
"S001_2_3"	"2_3"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"B_B"	"B1_B2"	"Windy_Microburst"	50	300
"S001_2_4"	"2_4"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"B_B"	"B1_B2"	"Windy_Windy"	100	3100
"S001_2_5"	"2_5"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"B_B"	"B1_B2"	"Windy_Windy"	150	7100
"S001_3_4"	"3_4"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"B_B"	"B2_B2"	"Microburst_Windy"	50	2800
"S001_3_5"	"3_5"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"B_B"	"B2_B2"	"Microburst_Windy"	100	6800
"S001_4_5"	"4_5"	"S001"	"Boulder_Boulder"	"P1_P1"	"Sunny_Sunny"	"B_B"	"B2_B2"	"Windy_Windy"	50	4000
"S002_1_2"	"1_2"	"S002"	"Boulder_Boulder"	"P2_P2"	"PartialSun_PartialSun"	"A_A"	"B1_B1"	"Windy_Windy"	50	400
"S002_1_3"	"1_3"	"S002"	"Boulder_Boulder"	"P2_P2"	"PartialSun_PartialSun"	"A_B"	"B1_B2"	"Windy_Windy"	100	1400
"S002_1_4"	"1_4"	"S002"	"Boulder_Boulder"	"P2_P2"	"PartialSun_PartialSun"	"A_B"	"B1_B2"	"Windy_Microburst"	150	2200
"S002_1_5"	"1_5"	"S002"	"Boulder_Boulder"	"P2_P2"	"PartialSun_PartialSun"	"A_B"	"B1_B2"	"Windy_Windy"	200	6200
"S002_2_3"	"2_3"	"S002"	"Boulder_Boulder"	"P2_P2"	"PartialSun_PartialSun"	"A_B"	"B1_B2"	"Windy_Windy"	50	1000
"S002_2_4"	"2_4"	"S002"	"Boulder_Boulder"	"P2_P2"	"PartialSun_PartialSun"	"A_B"	"B1_B2"	"Windy_Microburst"	100	1800
