"StudyID.Timepoint"	"Timepoint"	"StudyID"	"dm_paired_value"	"dm_paired_value_reference"	"FarmLocation"	"FarmLocation_reference"	"PlotName"	"PlotName_reference"	"Sunlight"	"Sunlight_reference"	"Timepoint_reference"	"OutreachProgram"	"OutreachProgram_reference"	"FertilizerLBrand"	"FertilizerLBrand_reference"	"DailyWeatherOfficial"	"DailyWeatherOfficial_reference"	"FertilizerCost"	"FertilizerCost_reference"	"ResponseMint"	"ResponseMint_reference"
"S001_1_2"	"1_2"	"S001"	0.523375621	0.523375621	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"1"	"A_B"	"A"	"B1_B1"	"B1"	"Windy_Windy"	"Windy"	50	100	600	650
"S001_1_3"	"1_3"	"S001"	0.621112069	0.621112069	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"1"	"A_B"	"A"	"B1_B2"	"B1"	"Windy_Microburst"	"Windy"	100	100	900	650
"S001_1_4"	"1_4"	"S001"	0.67301953	0.67301953	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"1"	"A_B"	"A"	"B1_B2"	"B1"	"Windy_Windy"	"Windy"	150	100	3700	650
"S001_1_5"	"1_5"	"S001"	0.645693467	0.645693467	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"1"	"A_B"	"A"	"B1_B2"	"B1"	"Windy_Windy"	"Windy"	200	100	7700	650
"S001_2_3"	"2_3"	"S001"	0.648930527	0.648930527	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"2"	"B_B"	"B"	"B1_B2"	"B1"	"Windy_Microburst"	"Windy"	50	150	300	1250
"S001_2_4"	"2_4"	"S001"	0.718790182	0.718790182	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"2"	"B_B"	"B"	"B1_B2"	"B1"	"Windy_Windy"	"Windy"	100	150	3100	1250
"S001_2_5"	"2_5"	"S001"	0.66375771	0.66375771	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"2"	"B_B"	"B"	"B1_B2"	"B1"	"Windy_Windy"	"Windy"	150	150	7100	1250
"S001_3_4"	"3_4"	"S001"	0.650358416	0.650358416	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"3"	"B_B"	"B"	"B2_B2"	"B2"	"Microburst_Windy"	"Microburst"	50	200	2800	1550
"S001_3_5"	"3_5"	"S001"	0.592866213	0.592866213	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"3"	"B_B"	"B"	"B2_B2"	"B2"	"Microburst_Windy"	"Microburst"	100	200	6800	1550
"S001_4_5"	"4_5"	"S001"	0.556297406	0.556297406	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"4"	"B_B"	"B"	"B2_B2"	"B2"	"Windy_Windy"	"Windy"	50	250	4000	4350
