"StudyID.Timepoint"	"Timepoint"	"StudyID"	"dm_paired_value"	"dm_paired_value_reference"	"FarmLocation"	"FarmLocation_reference"	"PlotName"	"PlotName_reference"	"Sunlight"	"Sunlight_reference"	"Timepoint_reference"	"OutreachProgram"	"OutreachProgram_reference"	"FertilizerLBrand"	"FertilizerLBrand_reference"	"DailyWeatherOfficial"	"DailyWeatherOfficial_reference"	"FertilizerCost"	"FertilizerCost_reference"	"ResponseMint"	"ResponseMint_reference"
"S001_1_2"	"1_2"	"S001"	0.523375621	0.523375621	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"1"	"A_B"	"A"	"B1_B1"	"B1"	"Windy_Windy"	"Windy"	50	100	600	650
"S001_2_3"	"2_3"	"S001"	0.648930527	0.648930527	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"2"	"B_B"	"B"	"B1_B2"	"B1"	"Windy_Microburst"	"Windy"	50	150	300	1250
"S001_3_4"	"3_4"	"S001"	0.650358416	0.650358416	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"3"	"B_B"	"B"	"B2_B2"	"B2"	"Microburst_Windy"	"Microburst"	50	200	2800	1550
"S001_4_5"	"4_5"	"S001"	0.556297406	0.556297406	"Boulder_Boulder"	"Boulder"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"4"	"B_B"	"B"	"B2_B2"	"B2"	"Windy_Windy"	"Windy"	50	250	4000	4350
"S002_1_2"	"1_2"	"S002"	0.601379858	0.601379858	"Boulder_Boulder"	"Boulder"	"P2_P2"	"P2"	"PartialSun_PartialSun"	"PartialSun"	"1"	"A_A"	"A"	"B1_B1"	"B1"	"Windy_Windy"	"Windy"	50	100	400	550
"S002_2_3"	"2_3"	"S002"	0.467505924	0.467505924	"Boulder_Boulder"	"Boulder"	"P2_P2"	"P2"	"PartialSun_PartialSun"	"PartialSun"	"2"	"A_B"	"A"	"B1_B2"	"B1"	"Windy_Windy"	"Windy"	50	150	1000	950
"S002_3_4"	"3_4"	"S002"	0.738044046	0.738044046	"Boulder_Boulder"	"Boulder"	"P2_P2"	"P2"	"PartialSun_PartialSun"	"PartialSun"	"3"	"B_B"	"B"	"B2_B2"	"B2"	"Windy_Microburst"	"Windy"	50	200	800	1950
"S002_4_5"	"4_5"	"S002"	0.750366469	0.750366469	"Boulder_Boulder"	"Boulder"	"P2_P2"	"P2"	"PartialSun_PartialSun"	"PartialSun"	"4"	"B_B"	"B"	"B2_B2"	"B2"	"Microburst_Windy"	"Microburst"	50	250	4000	2750
"S003_1_2"	"1_2"	"S003"	0.652821077	0.652821077	"Boulder_Boulder"	"Boulder"	"P3_P3"	"P3"	"Shade_Shade"	"Shade"	"1"	"A_B"	"A"	"B1_B1"	"B1"	"Windy_Windy"	"Windy"	50	100	400	450
"S003_2_3"	"2_3"	"S003"	0.677586735	0.677586735	"Boulder_Boulder"	"Boulder"	"P3_P3"	"P3"	"Shade_Shade"	"Shade"	"2"	"B_A"	"B"	"B1_B2"	"B1"	"Windy_Windy"	"Windy"	50	150	600	850
"S003_3_4"	"3_4"	"S003"	0.631126939	0.631126939	"Boulder_Boulder"	"Boulder"	"P3_P3"	"P3"	"Shade_Shade"	"Shade"	"3"	"A_B"	"A"	"B2_B2"	"B2"	"Windy_Windy"	"Windy"	50	200	1300	1450
"S003_4_5"	"4_5"	"S003"	0.593226514	0.593226514	"Boulder_Boulder"	"Boulder"	"P3_P3"	"P3"	"Shade_Shade"	"Shade"	"4"	"B_B"	"B"	"B2_B2"	"B2"	"Windy_Microburst"	"Windy"	50	250	1600	2750
"S004_1_2"	"1_2"	"S004"	0.633910729	0.633910729	"Farm2_Farm2"	"Farm2"	"P1_P1"	"P1"	"Sunny_Sunny"	"Sunny"	"1"	"B_B"	"B"	"B1_B1"	"B1"	"Windy_Windy"	"Windy"	50	80	300	550
