Timepoint	ENC_FarmLocation_is_Boulder	ENC_FarmLocation_is_Farm2	ENC_PlotName_is_P1	ENC_PlotName_is_P2	ENC_PlotName_is_P3	ENC_Sunlight_is_PartialSun	ENC_Sunlight_is_Shade	ENC_Sunlight_is_Sunny	ENC_OutreachProgram_is_A	ENC_OutreachProgram_is_B	ENC_FertilizerLBrand_is_B1	ENC_FertilizerLBrand_is_B2	ENC_DailyWeatherOfficial_is_Microburst	ENC_DailyWeatherOfficial_is_Windy
1	1	0	1	0	0	0	0	1	1	0	1	0	0	1
2	1	0	1	0	0	0	0	1	0	1	1	0	0	1
3	1	0	1	0	0	0	0	1	0	1	0	1	1	0
4	1	0	1	0	0	0	0	1	0	1	0	1	0	1
5	1	0	1	0	0	0	0	1	0	1	0	1	0	1
1	1	0	0	1	0	1	0	0	1	0	1	0	0	1
2	1	0	0	1	0	1	0	0	1	0	1	0	0	1
3	1	0	0	1	0	1	0	0	0	1	0	1	0	1
4	1	0	0	1	0	1	0	0	0	1	0	1	1	0
5	1	0	0	1	0	1	0	0	0	1	0	1	0	1
1	1	0	0	0	1	0	1	0	1	0	1	0	0	1
2	1	0	0	0	1	0	1	0	0	1	1	0	0	1
3	1	0	0	0	1	0	1	0	1	0	0	1	0	1
4	1	0	0	0	1	0	1	0	0	1	0	1	0	1
5	1	0	0	0	1	0	1	0	0	1	0	1	1	0
1	0	1	1	0	0	0	0	1	0	1	1	0	0	1
2	0	1	1	0	0	0	0	1	0	1	1	0	0	1
3	0	1	1	0	0	0	0	1	1	0	0	1	0	1
4	0	1	1	0	0	0	0	1	1	0	0	1	0	1
5	0	1	1	0	0	0	0	1	0	1	0	1	0	1
1	0	1	0	1	0	1	0	0	1	0	1	0	0	1
2	0	1	0	1	0	1	0	0	1	0	1	0	0	1
3	0	1	0	1	0	1	0	0	1	0	0	1	1	0
4	0	1	0	1	0	1	0	0	1	0	0	1	0	1
5	0	1	0	1	0	1	0	0	1	0	0	1	0	1
1	0	1	0	0	1	0	1	0	1	0	1	0	0	1
2	0	1	0	0	1	0	1	0	1	0	1	0	0	1
3	0	1	0	0	1	0	1	0	1	0	0	1	0	1
4	0	1	0	0	1	0	1	0	1	0	0	1	1	0
5	0	1	0	0	1	0	1	0	0	1	0	1	0	1
