	col_name	feature_importance_vals
7	ENC_Timepoint_is_1_5	517.43
10	ENC_Timepoint_is_2_5	407.96
12	ENC_Timepoint_is_3_5	304.93
42	ENC_DailyWeatherOfficial_is_Windy_Microburst	112.35
3	ResponseMint_reference	89.59
2	Timepoint_reference	84.28
6	ENC_Timepoint_is_1_4	80.46
8	ENC_Timepoint_is_2_3	76.8
36	ENC_FertilizerLBrand_is_B1_B1	52.31
4	ENC_Timepoint_is_1_2	52.06
31	ENC_OutreachProgram_is_A_B	46.83
13	ENC_Timepoint_is_4_5	42.67
9	ENC_Timepoint_is_2_4	37.05
11	ENC_Timepoint_is_3_4	35.86
1	dm_paired_value_reference	32.92
30	ENC_OutreachProgram_is_A_A	28.64
0	dm_paired_value	28.35
5	ENC_Timepoint_is_1_3	26.86
45	ENC_DailyWeatherOfficial_reference_is_Windy	16.8
38	ENC_FertilizerLBrand_is_B2_B2	15.72
40	ENC_FertilizerLBrand_reference_is_B2	14.98
39	ENC_FertilizerLBrand_reference_is_B1	14.64
17	ENC_FarmLocation_reference_is_Farm2	13.92
15	ENC_FarmLocation_is_Farm2_Farm2	13.23
41	ENC_DailyWeatherOfficial_is_Microburst_Windy	12.71
44	ENC_DailyWeatherOfficial_reference_is_Microburst	12.37
23	ENC_PlotName_reference_is_P3	10.74
16	ENC_FarmLocation_reference_is_Boulder	9.98
25	ENC_Sunlight_is_Shade_Shade	9.21
21	ENC_PlotName_reference_is_P1	8.87
14	ENC_FarmLocation_is_Boulder_Boulder	8.83
28	ENC_Sunlight_reference_is_Shade	8.74
26	ENC_Sunlight_is_Sunny_Sunny	8.7
43	ENC_DailyWeatherOfficial_is_Windy_Windy	8.68
35	ENC_OutreachProgram_reference_is_B	7.6
33	ENC_OutreachProgram_is_B_B	7.22
29	ENC_Sunlight_reference_is_Sunny	6.83
20	ENC_PlotName_is_P3_P3	6.68
34	ENC_OutreachProgram_reference_is_A	6.28
18	ENC_PlotName_is_P1_P1	5.73
32	ENC_OutreachProgram_is_B_A	5.39
37	ENC_FertilizerLBrand_is_B1_B2	4.98
24	ENC_Sunlight_is_PartialSun_PartialSun	3.72
27	ENC_Sunlight_reference_is_PartialSun	3.26
22	ENC_PlotName_reference_is_P2	2.96
19	ENC_PlotName_is_P2_P2	2.94
