	col_name	feature_importance_vals
2	Timepoint_reference	240.86
3	ResponseMint_reference	194.65
7	ENC_Timepoint_is_4_5	163.4
36	ENC_DailyWeatherOfficial_is_Windy_Microburst	79.61
39	ENC_DailyWeatherOfficial_reference_is_Windy	68.0
34	ENC_FertilizerLBrand_reference_is_B2	51.01
33	ENC_FertilizerLBrand_reference_is_B1	50.13
37	ENC_DailyWeatherOfficial_is_Windy_Windy	46.66
32	ENC_FertilizerLBrand_is_B2_B2	45.52
35	ENC_DailyWeatherOfficial_is_Microburst_Windy	37.18
38	ENC_DailyWeatherOfficial_reference_is_Microburst	33.29
25	ENC_OutreachProgram_is_A_B	16.9
1	dm_paired_value_reference	10.68
0	dm_paired_value	9.83
24	ENC_OutreachProgram_is_A_A	9.17
4	ENC_Timepoint_is_1_2	7.75
6	ENC_Timepoint_is_3_4	7.55
30	ENC_FertilizerLBrand_is_B1_B1	7.51
9	ENC_FarmLocation_is_Farm2_Farm2	6.89
8	ENC_FarmLocation_is_Boulder_Boulder	6.85
10	ENC_FarmLocation_reference_is_Boulder	6.0
20	ENC_Sunlight_is_Sunny_Sunny	5.31
19	ENC_Sunlight_is_Shade_Shade	5.09
5	ENC_Timepoint_is_2_3	4.99
11	ENC_FarmLocation_reference_is_Farm2	4.84
23	ENC_Sunlight_reference_is_Sunny	4.07
29	ENC_OutreachProgram_reference_is_B	3.81
26	ENC_OutreachProgram_is_B_A	3.8
27	ENC_OutreachProgram_is_B_B	3.72
14	ENC_PlotName_is_P3_P3	3.52
31	ENC_FertilizerLBrand_is_B1_B2	3.06
12	ENC_PlotName_is_P1_P1	3.0
17	ENC_PlotName_reference_is_P3	2.73
28	ENC_OutreachProgram_reference_is_A	2.33
15	ENC_PlotName_reference_is_P1	2.19
18	ENC_Sunlight_is_PartialSun_PartialSun	1.92
22	ENC_Sunlight_reference_is_Shade	1.89
13	ENC_PlotName_is_P2_P2	1.64
16	ENC_PlotName_reference_is_P2	1.22
21	ENC_Sunlight_reference_is_PartialSun	0.63
